Course Name,Company Offering,Skills Gained,Ratings,Number of Ratings
Data Science Fundamentals with Python and SQL,IBM,"Python Programming, Data Analysis, General Statistics, Probability & Statistics, Basic Descriptive Statistics, Statistical Analysis, Statistical Tests, Mathematical Theory & Analysis, Statistical Programming, Computer Programming, Data Visualization, Data Science, Probability Distribution, R Programming, Data Management, Database Application, Database Theory, Databases, Professional Development, SQL, Cloud Computing, IBM Cloud",4.6,61000
IBM Full Stack Software Developer,IBM,"Cloud Computing, Cloud Applications, Python Programming, IBM Cloud, Application Development, Cloud Infrastructure, Computer Programming, DevOps, Cloud Platforms, Javascript, Web Development, Cloud Management, Software Engineering, Software Architecture, Cloud API, Cloud-Based Integration, Full-Stack Web Development, Cloud Storage, Continuous Delivery, Continuous Integration, Software As A Service, Microarchitecture, Docker (Software), Kubernetes, Other Cloud Platforms and Tools, Software Engineering Tools, Django (Web Framework), NoSQL, SQL, Collaboration, Computer Science, Data Analysis, Front-End Web Development, Leadership and Management, Mergers & Acquisitions, React (web framework)",4.6,43000
Key Technologies for Business,IBM,"Algorithms, Applied Machine Learning, Artificial Neural Networks, Computer Vision, Deep Learning, Human Learning, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Cloud Computing, Data Analysis, Big Data, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, DevOps, Data Mining, IBM Cloud, Data Science, Regression, Writing",4.7,84000
IBM Data Engineering,IBM,"Data Management, Databases, Database Administration, Extract, Transform, Load, Big Data, SQL, Apache, Python Programming, Database Design, Distributed Computing Architecture, Data Architecture, Database Application, NoSQL, Data Structures, Data Model, Data Warehousing, Cloud Computing, Database Theory, Data Engineering, Data Visualization, Computer Programming, Cloud Storage, IBM Cloud, Data Mining, Machine Learning, Cloud Applications, Data Analysis, Leadership and Management, Process Analysis, Kubernetes, Professional Development, PostgreSQL, Warehouse Management, Business Intelligence, Data Visualization Software, Linux, Network Security, Statistical Programming, Data Science",4.6,48000
IBM & Darden Digital Strategy,IBM,"Business Analysis, Business Transformation, Strategy, Data Analysis, Cloud Computing, Strategy and Operations, Applied Machine Learning, Data Visualization, Deep Learning, Entrepreneurship, Leadership and Management, Research and Design, Algorithms, Artificial Neural Networks, Computer Vision, Human Learning, Innovation, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Marketing, Sales, Market Analysis, Business Design, Business Development, Customer Analysis, Product Strategy, Data Management, Data Mining, Databases, Python Programming, SQL, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, Data Science, DevOps, IBM Cloud, NoSQL, R Programming, Microsoft Excel",4.7,32000
Data Engineering Foundations,IBM,"Data Management, Python Programming, Databases, Data Structures, Data Engineering, Database Application, SQL, Database Administration, Database Design, Extract, Transform, Load, Computer Programming, Data Architecture, Database Theory, Data Mining, Data Model, Data Analysis, Leadership and Management, Professional Development, Data Warehousing, PostgreSQL, Big Data, IBM Cloud, Network Security, NoSQL, Cloud Computing, Data Science",4.6,47000
Applied Data Science,IBM,"Python Programming, Data Analysis, Machine Learning, Algorithms, Computer Programming, Data Science, Data Visualization, Exploratory Data Analysis, General Statistics, Machine Learning Algorithms, Plot (Graphics), Probability & Statistics, Regression, Statistical Programming",4.6,50000
IBM Data Analytics with Excel and R,IBM,"Data Analysis, R Programming, Computer Programming, Data Visualization, Data Management, Statistical Programming, Databases, Exploratory Data Analysis, Plot (Graphics), Data Analysis Software, Data Structures, Statistical Analysis, Statistical Visualization, Basic Descriptive Statistics, Microsoft Excel, SQL, General Statistics, Interactive Data Visualization, Database Application, Extract, Transform, Load, Visualization (Computer Graphics), Spreadsheet Software, Database Design, Database Theory, Programming Principles, Data Model, Database Administration, Computer Programming Tools, Correlation And Dependence, Data Mining, Data Visualization Software, Visual Design, Business Analysis, Python Programming, Data Science, NoSQL",4.7,21000
IBM Back-End Development,IBM,"Application Development, Software Engineering, Python Programming, Computer Programming, Software Architecture, DevOps, Software Engineering Tools, Cloud Applications, Security Engineering, Cloud Computing, Programming Principles, Cloud Infrastructure, Cloud-Based Integration, Microarchitecture, Agile Software Development, Communication, IBM Cloud, Kubernetes, Software Security, Web Development, Other Cloud Platforms and Tools, Docker (Software), Linux, Software-Defined Networking, User Experience Design, Collaboration, Leadership and Management, Data Analysis, Django (Web Framework), Mergers & Acquisitions, SQL",4.6,38000
IBM AI Foundations for Business,IBM,"Machine Learning, Data Analysis, Applied Machine Learning, Data Management, Leadership and Management, Machine Learning Algorithms, Algorithms, Artificial Neural Networks, Computer Vision, Deep Learning, Human Learning, Machine Learning Software, Business Process Management, Data Architecture, Strategy and Operations, Business Transformation, Cloud Computing, Strategy, Big Data, Innovation, Data Mining, Data Science, Regression, Writing",4.7,80000
Data Analysis and Visualization Foundations,IBM,"Microsoft Excel, Data Visualization, Spreadsheet Software, Data Analysis, Plot (Graphics), Business Analysis, Data Management, Databases, Python Programming, SQL, Statistical Visualization, Data Mining, Data Science, Interactive Data Visualization, NoSQL, R Programming, Data Visualization Software",4.7,21000
Applied Software Engineering Fundamentals,IBM,"Python Programming, Computer Programming, Software Engineering, Application Development, Programming Principles, Software Architecture, Software Engineering Tools, Agile Software Development, Communication, Software-Defined Networking, User Experience Design, Collaboration, Leadership and Management, Linux, Data Analysis, Mergers & Acquisitions",4.6,38000
Deep Learning,DeepLearning.AI,"Machine Learning, Deep Learning, Artificial Neural Networks, Machine Learning Algorithms, Applied Machine Learning, Python Programming, Machine Learning Software, Network Model, Algorithms, Computer Programming, Computer Vision, Network Architecture, Natural Language Processing, Tensorflow, Human Learning, Data Analysis, Data Model, Exploratory Data Analysis, Organizational Development, Process Analysis, Strategy, Mathematics, Mathematical Theory & Analysis, Regression, Calculus",4.8,142000
AI Foundations for Everyone,IBM,"Human Learning, Machine Learning, Artificial Neural Networks, Deep Learning, Machine Learning Algorithms, Computer Vision, Human Computer Interaction, Natural Language Processing, Algorithms, Applied Machine Learning, Cloud Computing, IBM Cloud, Machine Learning Software, Data Analysis, Computer Programming, Data Science",4.7,14000
Prompt Engineering,Vanderbilt University,"Creativity, Data Analysis, Leadership and Management, Problem Solving, Writing",4.8,6000
IBM Business Intelligence (BI) Analyst,IBM,"Data Management, Data Visualization, Databases, SQL, Database Administration, Database Application, Database Design, Microsoft Excel, Data Structures, Python Programming, Data Analysis, Data Architecture, Database Theory, Spreadsheet Software, Computer Programming, Data Model, Data Warehousing, General Statistics, Mathematical Theory & Analysis, Plot (Graphics), Basic Descriptive Statistics, NoSQL, PostgreSQL, Probability & Statistics, Professional Development, Statistical Analysis, Statistical Tests, Statistical Visualization, Business Analysis, Data Visualization Software, Probability Distribution, Data Mining, Data Science, Interactive Data Visualization, R Programming, Tableau Software, Business Intelligence, Forecasting",4.7,10000
Google Advanced Data Analytics,Google,"Communication, Computer Programming, Data Analysis, Data Visualization, Exploratory Data Analysis, General Statistics, Machine Learning, Planning, Probability Distribution, Project Management, Python Programming, Regression, Statistical Analysis, Tableau Software",4.7,3000
Generative AI with Large Language Models,DeepLearning.AI,"Machine Learning, Natural Language Processing, Python Programming",4.8,2000
Cloud Application Development Foundations,IBM,"Cloud Computing, Cloud Applications, IBM Cloud, Javascript, Cloud Infrastructure, Cloud Platforms, DevOps, Cloud Management, Computer Programming, Web Development, Cloud API, Continuous Integration, Cloud Storage, Software As A Service, Continuous Delivery, Software Engineering, NoSQL, Computer Science, Front-End Web Development, React (web framework)",4.6,2000
Microsoft Power BI Data Analyst,Microsoft,"Data Analysis, Data Management, Data Mining, Data Model, Data Visualization, Extract, Transform, Load, Microsoft Excel, Power BI, SQL",4.6,2000
"DevOps, Cloud, and Agile Foundations",IBM,"DevOps, Cloud Computing, Software Engineering, Agile Software Development, Continuous Delivery, Continuous Integration, Scrum (Software Development), Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, IBM Cloud, Leadership and Management",4.7,8000
IBM and ISC2 Cybersecurity Specialist,Multiple educators,"Computer Security Incident Management, Risk Management, Cloud Computing, System Security, Computer Networking, Cloud Storage, Operating Systems, Leadership and Management, Network Security, Cloud Platforms, Network Architecture, Networking Hardware, Cloud Applications, Cloud Infrastructure, Computer Programming, Cyberattacks, Databases, DevOps, Security Engineering, Cryptography, IBM Cloud, Operations Management, Software Engineering",4.7,8000
IBM IT Support,IBM,"Cloud Computing, Computer Networking, Cloud Storage, Customer Success, Operating Systems, Leadership and Management, System Security, Strategy and Operations, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Communication, Computer Programming, Cyberattacks, Customer Support, Databases, DevOps, Networking Hardware, Cryptography, IBM Cloud, Information Technology, Network Architecture, Network Security, Security Engineering, Software Engineering",4.7,5000
Meta Front-End Developer,Meta,"HTML and CSS, Javascript, Front-End Web Development, React (web framework), Web Development, User Experience, Algorithms, Computer Science, Web Design, Application Development, Computer Programming, Software Engineering, Web Development Tools, Collaboration, Communication, Data Structures, Human Computer Interaction, Interactive Design, Linux, Problem Solving, Product Design, Software Engineering Tools, Software Testing",4.7,17000
Google IT Automation with Python,Google,"Cloud Computing, Cloud Platforms, Collaboration, Computer Programming, Data Structures, Google Cloud Platform, Leadership and Management, Problem Solving, Python Programming",4.7,43000
Foundations of Project Management,Google,"Project Management, Strategy and Operations, Business Communication, Change Management, Organizational Development, Communication, Culture, Emotional Intelligence, Influencing, Leadership and Management, People Management, Planning",4.9,78000
Generative AI Fundamentals,IBM,"Business Transformation, Machine Learning",4.7,465
Information Technology (IT) and Cloud Fundamentals,IBM,"Cloud Computing, Computer Networking, Cloud Storage, Operating Systems, System Security, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cyberattacks, Databases, DevOps, Networking Hardware, Computer Programming, Cryptography, IBM Cloud, Network Architecture, Network Security, Security Engineering, Software Engineering",4.7,9000
IBM Generative AI for Cybersecurity Professionals,IBM,,4.7,416
Generative AI for Data Analysts,IBM,Data Analysis,4.7,414
Generative AI for Data Scientists,IBM,"Data Analysis, Data Science",4.7,419
Generative AI for Software Developers,IBM,Software Engineering,4.7,420
IBM Data Warehouse Engineer,IBM,"Data Management, Databases, Database Administration, SQL, Database Application, Extract, Transform, Load, Data Warehousing, Data Structures, Database Design, Data Engineering, Computer Programming, Data Analysis, Data Architecture, Database Theory, Apache, Python Programming, Leadership and Management, Professional Development, Big Data, Data Model, Distributed Computing Architecture, Business Analysis, PostgreSQL, Process Analysis, Warehouse Management, Cloud Computing, Linux, IBM Cloud, Network Security, NoSQL, Business Intelligence, Data Science",4.7,1000
AI For Everyone,DeepLearning.AI,"Data Science, Deep Learning, Machine Learning, Artificial Neural Networks, Business Transformation, Human Learning, Planning, Project Management",4.8,40000
"BI Foundations with SQL, ETL and Data Warehousing",IBM,"Data Management, Extract, Transform, Load, Data Warehousing, Database Administration, Apache, Computer Programming, Python Programming, Data Analysis, Data Structures, Databases, Big Data, Database Application, Distributed Computing Architecture, Cloud Computing, Database Theory, Linux, Process Analysis, Professional Development, SQL, Warehouse Management, Business Intelligence, IBM Cloud",4.6,20000
"Foundations: Data, Data, Everywhere",Google,"Data Analysis, SQL, Data Visualization, Business Analysis, Spreadsheet Software, Data Science, Databases, Microsoft Excel",4.8,99000
IBM Full-Stack JavaScript Developer,IBM,"Software Engineering, Application Development, Computer Programming, Software Architecture, Software Engineering Tools, Cloud Applications, Web Development, Cloud Computing, Communication, DevOps, Programming Principles, Agile Software Development, Cloud Infrastructure, Cloud-Based Integration, IBM Cloud, Kubernetes, Microarchitecture, Javascript, Continuous Delivery, Docker (Software), Front-End Web Development, Leadership and Management, Other Cloud Platforms and Tools, Software-Defined Networking, User Experience Design, Collaboration, Continuous Integration, Computer Science, Mergers & Acquisitions, NoSQL, Python Programming, React (web framework)",4.5,3000
Supervised Machine Learning: Regression and Classification,DeepLearning.AI,"Machine Learning, Machine Learning Algorithms, Regression, Applied Machine Learning, Algorithms, Statistical Machine Learning, Mathematics, Critical Thinking, Machine Learning Software, Python Programming",4.9,18000
Business Foundations,University of Pennsylvania,"Accounting, Finance, General Accounting, Decision Making, Financial Accounting, Account Management, Accounts Payable and Receivable, Cost Accounting, Leadership and Management, Strategy, Cash Management, Communication, Financial Analysis, Generally Accepted Accounting Principles (GAAP), Marketing, Brand Management, Budget Management, Customer Analysis, Market Analysis, Marketing Design, Product Marketing, Product Strategy, Entrepreneurship, Human Resources, People Analysis, Performance Management, Data Analysis, Estimation, Mathematical Theory & Analysis, Sales, Change Management, Organizational Development, Talent Management, Planning, Operations Management",4.7,24000
Generative AI for Everyone,DeepLearning.AI,"Strategy, Writing",4.8,991
IBM AI Engineering,IBM,"Machine Learning, Deep Learning, Artificial Neural Networks, Human Learning, Python Programming, Machine Learning Algorithms, Applied Machine Learning, Algorithms, Machine Learning Software, Regression, Network Model, Mathematics, Computer Vision, Apache, Big Data, Mathematical Theory & Analysis, Computer Programming, Data Analysis, Network Architecture, Extract, Transform, Load, Data Visualization, Tensorflow, Visualization (Computer Graphics), Dimensionality Reduction, Data Science",4.6,18000
AI in Healthcare,Stanford University,"Machine Learning, Leadership and Management, Data Analysis, Data Mining",4.7,4000
IBM IT Project Manager,IBM,"Software Engineering, Agile Software Development, Computer Programming, Software Engineering Tools, Application Development, Programming Principles, Software Architecture, Communication, Cloud Applications, Scrum (Software Development), Software-Defined Networking, User Experience Design, Leadership and Management, Project Management, Business Analysis, Cloud Computing, IBM Cloud, Information Technology, Operating Systems, Python Programming, Risk Management",4.8,2000
IBM Front-End Developer,IBM,"Software Engineering, Cloud Applications, Application Development, Computer Programming, Software Engineering Tools, Cloud Computing, IBM Cloud, Programming Principles, Web Development, Agile Software Development, Cloud API, Cloud Infrastructure, Cloud Management, Cloud Platforms, Communication, DevOps, Software Architecture, Continuous Integration, Software As A Service, Continuous Delivery, Front-End Web Development, Leadership and Management, Software-Defined Networking, User Experience Design, Collaboration, Javascript, NoSQL, Mergers & Acquisitions, Python Programming, React (web framework), Search Engine Optimization, Strategy",4.6,1000
IBM Back-end JavaScript Developer,IBM,"Software Engineering, Application Development, Computer Programming, Software Architecture, Software Engineering Tools, Cloud Applications, Web Development, Cloud Computing, Communication, DevOps, Programming Principles, Agile Software Development, Cloud Infrastructure, Cloud-Based Integration, IBM Cloud, Kubernetes, Microarchitecture, Javascript, Continuous Delivery, Docker (Software), Leadership and Management, Other Cloud Platforms and Tools, Software-Defined Networking, User Experience Design, Collaboration, Continuous Integration, Computer Science, Mergers & Acquisitions, NoSQL, Python Programming",4.6,7000
Foundations of Cybersecurity,Google,"Linux, Computer Programming, Leadership and Management, Risk Management",4.9,18000
IBM Cybersecurity Analyst,IBM,"Cryptography, Python Programming, Linux, Network Security, Security Strategy, Software Security, System Software, Computer Security Incident Management, Networking Hardware, Security Software, Cloud Computing, Cyberattacks, DevOps, Mobile Security, Computer Programming, Databases, Leadership and Management, Operating Systems, SQL, System Security",4.6,22000
AI For Business,University of Pennsylvania,"Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Data Analysis, Algorithms, Human Learning, Leadership and Management, Business Analysis, Decision Making, Human Resources, People Management, People Analysis, Artificial Neural Networks, Deep Learning, Business Transformation, Customer Analysis, Finance, Financial Accounting, Marketing, Probability & Statistics, Regulations and Compliance, Statistical Machine Learning, Strategy, User Experience, Big Data",4.7,579
IBM IT Scrum Master,IBM,"DevOps, Software Engineering, Computer Programming, Agile Software Development, Programming Principles, Software Engineering Tools, Application Development, Software Architecture, Communication, Continuous Delivery, Cloud Applications, Continuous Integration, Scrum (Software Development), Software-Defined Networking, User Experience Design, Leadership and Management, Project Management, Cloud Computing, IBM Cloud, Information Technology, Operating Systems, Python Programming",4.8,6000
Mathematics for Machine Learning and Data Science,DeepLearning.AI,"Machine Learning, Calculus, Differential Equations, Mathematics, Machine Learning Algorithms, Regression, Algebra, Algorithms, Artificial Neural Networks, General Statistics, Linear Algebra, Probability & Statistics, Statistical Analysis",4.6,6000
IBM Applied DevOps Engineering,IBM,"DevOps, Software Engineering, Cloud Computing, Continuous Delivery, Continuous Integration, Application Development, Cloud Applications, Software Architecture, Security Engineering, Kubernetes, Computer Programming, Cloud Infrastructure, Cloud-Based Integration, Microarchitecture, Software Testing, Agile Software Development, IBM Cloud, Other Cloud Platforms and Tools, Docker (Software), Scrum (Software Development), Software Security, Leadership and Management",4.7,7000
Meta Social Media Marketing,Meta,"Marketing, Digital Marketing, Social Media, Advertising, Communication, Media Strategy & Planning, Marketing Management, Customer Analysis, Brand Management, Business Analysis, Marketing Design, Sales, Strategy and Operations, Data Analysis, General Statistics, Market Analysis, Probability & Statistics, Leadership and Management, Research and Design, Creativity, Planning, Entrepreneurship",4.8,18000
Finance & Quantitative Modeling for Analysts,University of Pennsylvania,"Finance, Business Analysis, Data Analysis, Financial Analysis, Accounting, Forecasting, Financial Management, General Accounting, General Statistics, Statistical Analysis, Account Management, Financial Accounting, Mathematical Theory & Analysis, Accounts Payable and Receivable, Probability & Statistics, Basic Descriptive Statistics, Cost Accounting, Data Model, Decision Making, Regression, Estimation, Management Accounting, Statistical Tests, Budget Management, Microsoft Excel, Spreadsheet Software, Entrepreneurship, Linear Algebra, Computer Programming",4.5,16000
Intuit Academy Bookkeeping,Intuit,"Accounting, General Accounting, Financial Accounting, Business Analysis, Data Analysis, Financial Analysis, Cash Management, Finance, Financial Management, Accounts Payable and Receivable, Cost Accounting, Inventory Management, Accounting Software, Taxes",4.6,4000
Introduction to Finance and Accounting,University of Pennsylvania,"Accounting, Finance, Financial Accounting, General Accounting, Financial Analysis, Generally Accepted Accounting Principles (GAAP), Accounts Payable and Receivable, Cost Accounting, Account Management, Cash Management, Decision Making, Estimation, Investment Management, Taxes, Budget Management, Management Accounting, Problem Solving, Mathematical Theory & Analysis, Mathematics, Data Analysis, Entrepreneurship",4.6,13000
Python for Everybody,University of Michigan,"Computer Programming, Python Programming, Computer Programming Tools, Programming Principles, Data Structures, Computational Thinking, Computational Logic, Data Analysis, Algorithms, Critical Thinking, Problem Solving, Data Architecture, Data Management, Databases, Theoretical Computer Science, Database Administration, Data Model, Data Visualization, Database Design, Database Theory, Web Development, Web Development Tools, Computer Networking, SQL, HTML and CSS",4.8,270000
Technical Support Fundamentals,Google,"Communication, Computer Architecture, Computer Networking, Customer Support, Networking Hardware",4.8,149000
IT Fundamentals for Cybersecurity,IBM,"Cryptography, Network Security, Linux, Networking Hardware, Security Software, System Software, Cloud Computing, Cyberattacks, Databases, Leadership and Management, Operating Systems, SQL, System Security",4.6,20000
Meta React Native,Meta,"React (web framework), Javascript, Mobile Development, Mobile Development Tools, Web Development, HTML and CSS, Front-End Web Development, Web Development Tools, Application Development, Computer Programming, Programming Principles, User Experience, Web Design, Cross Platform Development, Software Engineering Tools, SQL, Software Engineering, Agile Software Development, Collaboration, Data Management, Human Computer Interaction, Interactive Design, Linux, Product Design, Product Lifecycle, Project Management",4.7,8000
Foundations of Digital Marketing and E-commerce,Google,"Digital Marketing, Marketing, E-Commerce, Strategy, Data Analysis, Social Media",4.8,18000
Machine Learning Engineering for Production (MLOps),DeepLearning.AI,"Machine Learning, Applied Machine Learning, Tensorflow, Python Programming, Statistical Programming, DevOps, Devops Tools, Exploratory Data Analysis, Feature Engineering, Machine Learning Software, Probability & Statistics, Cloud Computing, Google Cloud Platform, Other Cloud Platforms and Tools, Performance Management, Strategy and Operations, Kubernetes, Leadership and Management",4.7,5000
Business and Financial Modeling,University of Pennsylvania,"Business Analysis, Data Analysis, Finance, General Statistics, Probability & Statistics, Financial Analysis, Statistical Analysis, Forecasting, Mathematics, Spreadsheet Software, Statistical Tests, Basic Descriptive Statistics, Data Model, Mathematical Theory & Analysis, Risk Management, Decision Making, Investment Management, Accounting, Leadership and Management, Regression, Data Analysis Software, Financial Accounting, Microsoft Excel, Linear Algebra, Performance Management, Cash Management, General Accounting, Computer Programming",4.5,11000
IBM Project Manager,IBM,"Software Engineering, Agile Software Development, Scrum (Software Development), Business Analysis, Communication, Leadership and Management, Project Management, Risk Management",4.8,4000
Natural Language Processing,DeepLearning.AI,"Machine Learning, Natural Language Processing, Python Programming, Statistical Programming, Artificial Neural Networks, Probability & Statistics, Statistical Machine Learning, Deep Learning, Machine Learning Algorithms, Applied Machine Learning, Computer Programming, General Statistics, Human Learning, Mathematics",4.6,6000
Prompt Engineering for ChatGPT,Vanderbilt University,"Creativity, Problem Solving, Writing",4.8,4000
Meta Android Developer,Meta,"Mobile Development, Computer Programming, React (web framework), Mobile Development Tools, Application Development, Software Engineering, Android Development, Other Programming Languages, Web Development, User Experience, Algorithms, Computer Science, Front-End Web Development, Javascript, Programming Principles, Cloud API, Collaboration, Communication, Cross Platform Development, Data Management, Data Structures, Databases, Human Computer Interaction, Interactive Design, Linux, Problem Solving, Product Design, SQL, Software Architecture, Software Engineering Tools, Swift Programming, Web Design",4.6,2000
Meta iOS Developer,Meta,"Mobile Development, Swift Programming, iOS Development, Computer Programming, Mobile Development Tools, React (web framework), Application Development, Software Engineering, Data Structures, User Experience, User Experience Design, Web Development, Computer Programming Tools, Software Engineering Tools, Front-End Web Development, Algorithms, Computer Science, Interactive Design, Javascript, Collaboration, Communication, Cross Platform Development, Data Management, Django (Web Framework), Human Computer Interaction, Linux, Problem Solving, Product Design, Software Architecture, Web Design",4.6,9000
DeepLearning.AI TensorFlow Developer,DeepLearning.AI,"Machine Learning, Tensorflow, Deep Learning, Machine Learning Algorithms, Artificial Neural Networks, Applied Machine Learning, Human Learning, Computer Programming, Python Programming, Machine Learning Software, Natural Language Processing, Computer Vision, Forecasting, Algorithms, Network Model, Statistical Machine Learning, Statistical Analysis",4.7,25000
Meta Back-End Developer,Meta,"Python Programming, Databases, HTML and CSS, SQL, Database Design, Programming Principles, Algorithms, Computer Science, Big Data, React (web framework), Software Testing, Web Development, Application Development, Back-End Web Development, Cloud API, Cloud Computing, Cloud Infrastructure, Collaboration, Communication, Computer Programming, Data Model, Data Structures, Data Warehousing, Database Administration, Database Application, Database Theory, DevOps, Django (Web Framework), Front-End Web Development, Full-Stack Web Development, Javascript, Kubernetes, Linux, Problem Solving, Semantic Web, Software Engineering, Software Engineering Tools, Statistical Programming, Tensorflow, Web Design, Web Development Tools",4.7,1000
Foundations of User Experience (UX) Design,Google,"User Experience, User Experience Design, User Research, Product Development",4.8,63000
Project Initiation: Starting a Successful Project,Google,"Project Management, Strategy and Operations, Collaboration, Communication, Leadership and Management, Planning",4.8,19000
Google Business Intelligence,Google,"Business Intelligence, Data Analysis, Data Management, Data Model, Data Visualization, Extract, Transform, Load, Leadership and Management, Strategy, Tableau Software",4.7,3000
Ask Questions to Make Data-Driven Decisions,Google,"Business Communication, Data Analysis, Spreadsheet Software, Big Data, Communication, Leadership and Management, Problem Solving, Small Data",4.7,30000
Play It Safe: Manage Security Risks,Google,"Audit, Computer Security Incident Management, Leadership and Management, Risk Management",4.8,4000
Financial Markets,Yale University,"Finance, Investment Management, Risk Management, Banking, Behavioral Economics, Critical Thinking, Decision Making, Financial Analysis, Innovation, Regulations and Compliance, Leadership and Management",4.8,27000
Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,"Communication, SAS (Software), Regulations and Compliance, Systems Design, System Security, Network Architecture, Process Analysis, Training, Decision Making, Operating Systems, Leadership and Management",4.6,192
